form	literal	idiomatic
wo-wi	big-feel	love *(general, established)
pi-wi	hot-feel	desire, lust, embodied passion
nu-wi	new-feel	infatuation, the first weeks
pis-wip	fire-heart	lovesickness, being aflame for
lon-li	long-see	yearning, pining
wa-lip	wet-eye	moved to tears (by love or beauty)
pen-we-mi	part-of-me	beloved, the other half
le-wip	two-heart	soulmate, paired hearts
le-mep	two-mouth	kiss
wi-no-me	feel-not-say	unspoken love
lu we wip	know of heart	intimate knowing *(deep, possibly sexual)
lon-pu	long-want	longing as a way of life
mo-la-nul	move-toward-dark	dying, the final journey
lon-nul	long-dark	death, eternal night
nul-mo	dark-walk	the death-walk *(also: depression)
was-lip	water-eye	tears *(established)
was we no-lin	water of death	mourning tears specifically
no-wi we wip	not-feel of heart	numbness, the grief that empties
pa-lum	before-person	ancestor, the honored dead
lin-su we pa	life-stuff of before	memory of the dead, what they left
mep we no-lin	mouth of death	last words
no-lin-su	not-life-stuff	corpse, the body emptied
was we lin	water of life	blood
pi-was	hot-water	blood (visceral, of wounds)
was we wip	water of heart	heart's blood, lifeblood
ko-mep	hard-mouth	insult, harsh words
pi-me	hot-say	threat, anger spoken
pis-to	fire-thing	weapon
kep we no-lin	hand of death	killer, assassin
nam-mo	bad-move	attack, aggression
mo-la-nam	move-toward-bad	one's doom, going to destruction
mu-no-lin	many-death	massacre, slaughter
kep-pis	hand-fire	weapon-wielder, warrior
lon-lu	long-know	wisdom *(distinct from simple knowing)
pa-lu	before-know	memory, ancestral knowledge
mu-lu	many-know	learning, scholarship
wo-lu	big-know	deep understanding, genius
lu-pen	know-part	a clue, a fragment
nul we lu	dark of know	mystery, hidden knowledge
lus	fossil: lu-su	information *(established technical)
lu we lon	know of long	the long view, perspective
no-lu	not-know	ignorance
lu-no-me	know-not-say	secret, the held thing
ma-li	good-see	beautiful *(established as adj.)
pil-li	sun-see	radiant, dazzling beauty
lo-mep	bright-mouth	eloquent, the poet's voice
lo we lip	bright of eye	the spark in someone's eye
ma we mo	good of motion	grace, beauty in movement
nu-ma	new-good	freshness, the beauty of youth
lon-ma	long-good	beauty that endures, weathered grace
pil-sop	sun-head	bright-minded, brilliant *(of intellect)
mesan	fossil: me-san	truth, bijection *(established technical)
me we pa	say of before	promise, oath, given word
nam-me	bad-say	lie *(established)
me-na-me	say-in-say	hidden meaning, the kenning itself
me-le	say-two	double-talk, deliberate ambiguity
nul-me	dark-say	coded speech, secret communication
ma-me we no-ma	good-say of bad	flattery, polite dishonesty
lu-no-me	know-not-say	secret, the held thing
me-no-wip	say-not-heart	hollow words, insincerity
me-win-wip	say-with-heart	sincere speech, words from the heart
nu-lin	new-life	youth *(established as 'birth')
nun-lin	old-life	elder, the long-living
pa-lin	before-life	past life, what was
lon-mo we ne	long-walk of now	the slow present, melancholy duration
pa-su	before-stuff	the past as substance, what remains
ne-su	now-stuff	the present moment as a thing held
lon-pa	long-before	deep past, ancestral time
mo we ne	walk of now	aging, the daily passage
lup	fossil: lu-sop	thought *(established)
no-lu we sop	not-know of head	madness, mind-loss
pi-sop	hot-head	impulsive, passionate thinking
nul-sop	dark-head	depression, the dark mind
lo-sop	bright-head	inspiration, clarity
mu-wi we sop	many-feel of head	overwhelm, mental chaos
no-sop	not-head	thoughtlessness, foolishness
wo-sop	big-head	conceit, arrogance
wo-mep	big-mouth	chief, leader *(or: ironic — windbag)
pan-li	all-see	seer, prophet, mystic
kep we pan	hand of all	ruler, the one who touches everything
wo-lum	big-person	great one, hero
mu-lum we so	many-people of above	nobility
so-lum	up-person	superior, one above
nus-lum	down-person	inferior, lowly *(use with care)
me we pan	say of all	law-giver, judge
pil-mo	sun-walk	day's passage, the arc of a life
nul-pil	dark-sun	moon
wo-was	big-water	sea, ocean
lon-was	long-water	river
was we so	water of above	rain
pis we so	fire of above	lightning
mos we pi	air of hot	summer wind
mos we nip	air of cold	winter wind
lo we ne	bright of now	dawn
nul we ne	dark of now	dusk
Vector	Base Mesu	Kenning Mesu
Lexical polysemy	~1.0 senses/root	~2.0 (literal + idiomatic)
Homophony	0 collisions	0 collisions *(unchanged)
Syntactic parse	~1 tree/string	~1 tree/string *(unchanged)
Pragmatic indirection	0	~50 conventionalized indirections
