rank,language_guess,corpus_family,report_count,cleaned_chars,trusted_survivor_count,strongest_abs_z,strongest_z,strongest_direction,strongest_encoding,strongest_event,strongest_metric,strongest_p_emp,dominant_signal_family,profile,notes,strongest_input
1,xh,parallel_udhr,1,,10,10.369615,-10.36961481091,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,punctuation,strong,dominant signal: punctuation; strongest row is word-boundary based,
2,is,parallel_udhr,1,,8,6.165621,-6.165620618976,lower_than_null,grapheme,punctuation,gap_entropy,0.009900990099,punctuation,strong,dominant signal: punctuation; strongest row is punctuation based,
3,tr,parallel_udhr,1,,8,5.929918,-5.929917685193,lower_than_null,word_boundary,word_boundary,prime_gap_affinity,0.009900990099,punctuation,strong,dominant signal: punctuation; strongest row is word-boundary based,
4,de,parallel_udhr,1,,5,12.614508,-12.614507941893,lower_than_null,word_boundary,word_boundary,prime_gap_affinity,0.009900990099,word_boundary,strong,dominant signal: word_boundary; strongest row is word-boundary based,
5,sw,parallel_udhr,1,,4,6.349023,-6.349022859443,lower_than_null,grapheme_class,punctuation,gap_entropy,0.009900990099,punctuation,moderate,dominant signal: punctuation; strongest row is punctuation based,
6,la,parallel_udhr,1,,4,6.011814,-6.011814183198,lower_than_null,word_boundary,word_boundary,run_entropy,0.009900990099,vowel_consonant,moderate,dominant signal: vowel_consonant; strongest row is word-boundary based,
7,es,parallel_udhr,1,,4,5.708398,-5.708398400678,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,vowel_consonant,moderate,dominant signal: vowel_consonant; strongest row is word-boundary based,
8,he,parallel_udhr,1,,4,5.014382,-5.01438152505,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,vowel_consonant,moderate,dominant signal: vowel_consonant; strongest row is word-boundary based,
9,ar,parallel_udhr,1,,4,4.805893,-4.805893189478,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,word_boundary,moderate,dominant signal: word_boundary; strongest row is word-boundary based,
10,ja,parallel_udhr,1,,2,10.155028,-10.155027735209,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,word_boundary,strong,dominant signal: word_boundary; strongest row is word-boundary based,
11,zh,parallel_udhr,1,,2,5.888456,-5.888456002156,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,word_boundary,moderate,dominant signal: word_boundary; strongest row is word-boundary based,
12,el,parallel_udhr,1,,2,5.755029,-5.755029414422,lower_than_null,word_boundary,word_boundary,prime_gap_affinity,0.009900990099,word_boundary,moderate,dominant signal: word_boundary; strongest row is word-boundary based,
13,fr,parallel_udhr,1,,2,4.042247,-4.042246745631,lower_than_null,grapheme_class,vowel,prime_gap_affinity,0.009900990099,vowel_consonant,weak,dominant signal: vowel_consonant,
14,en,parallel_udhr,1,,1,9.014021,-9.014021314902,lower_than_null,word_boundary,word_boundary,prime_gap_affinity,0.009900990099,word_boundary,strong,dominant signal: word_boundary; strongest row is word-boundary based,
15,cy,parallel_udhr,1,,0,0.0,,,,,,,,quiet,no filtered Markov-2 survivors,
16,mesu,parallel_udhr,1,,0,0.0,,,,,,,,quiet,no filtered Markov-2 survivors,
17,ru,parallel_udhr,1,,0,0.0,,,,,,,,quiet,no filtered Markov-2 survivors,
