report_file,report_group,experiment,status,language_reported,language_guess,corpus_family,source,input,input_bytes,input_chars,cleaned_chars,null_samples,seed,tool_version,hyphen_policy,encoding,encoding_sequence_len,encoding_unique_symbols,encoding_symbol_entropy_bits,event,event_description,event_count,severity,code,interpretation_level,message,raw_alert
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,info,STATISTICAL_DEVIATION,1,"Metric 'gap_entropy' deviates from 'density_shuffle' null with z=-191.146. This is a tripwire, not a conclusion.","{""code"": ""STATISTICAL_DEVIATION"", ""severity"": ""info"", ""interpretation_level"": 1, ""message"": ""Metric 'gap_entropy' deviates from 'density_shuffle' null with z=-191.146. This is a tripwire, not a conclusion.""}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,0,This deviation occurred in raw UTF-8 bits. Treat it as encoding-level unless it survives linguistic encodings.,"{""code"": ""RAW_LAYER_FINDING_NOT_LINGUISTIC"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""This deviation occurred in raw UTF-8 bits. Treat it as encoding-level unless it survives linguistic encodings.""}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,warning,PERIODICITY_OR_CLUSTERING_WARNING,1,"Gap entropy is substantially lower than the 'density_shuffle' null expectation. Inspect for periodicity, clustering, repeated material, genre constraints, or local phonotactic regularity.","{""code"": ""PERIODICITY_OR_CLUSTERING_WARNING"", ""severity"": ""warning"", ""interpretation_level"": 1, ""message"": ""Gap entropy is substantially lower than the 'density_shuffle' null expectation. Inspect for periodicity, clustering, repeated material, genre constraints, or local phonotactic regularity.""}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,info,STATISTICAL_DEVIATION,1,"Metric 'run_entropy' deviates from 'density_shuffle' null with z=-17.192. This is a tripwire, not a conclusion.","{""code"": ""STATISTICAL_DEVIATION"", ""severity"": ""info"", ""interpretation_level"": 1, ""message"": ""Metric 'run_entropy' deviates from 'density_shuffle' null with z=-17.192. This is a tripwire, not a conclusion.""}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,0,This deviation occurred in raw UTF-8 bits. Treat it as encoding-level unless it survives linguistic encodings.,"{""code"": ""RAW_LAYER_FINDING_NOT_LINGUISTIC"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""This deviation occurred in raw UTF-8 bits. Treat it as encoding-level unless it survives linguistic encodings.""}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,warning,OVER_REGULARITY_WARNING,1,"Run entropy is substantially lower than the 'density_shuffle' null expectation. Possible causes include genuine structure, repeated boilerplate, encoding artefact, formal constraint, or local transition structure not captured by this null.","{""code"": ""OVER_REGULARITY_WARNING"", ""severity"": ""warning"", ""interpretation_level"": 1, ""message"": ""Run entropy is substantially lower than the 'density_shuffle' null expectation. Possible causes include genuine structure, repeated boilerplate, encoding artefact, formal constraint, or local transition structure not captured by this null.""}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,info,STATISTICAL_DEVIATION,1,"Metric 'prime_gap_affinity' deviates from 'density_shuffle' null with z=18.004. This is a tripwire, not a conclusion.","{""code"": ""STATISTICAL_DEVIATION"", ""severity"": ""info"", ""interpretation_level"": 1, ""message"": ""Metric 'prime_gap_affinity' deviates from 'density_shuffle' null with z=18.004. This is a tripwire, not a conclusion.""}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,0,This deviation occurred in raw UTF-8 bits. Treat it as encoding-level unless it survives linguistic encodings.,"{""code"": ""RAW_LAYER_FINDING_NOT_LINGUISTIC"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""This deviation occurred in raw UTF-8 bits. Treat it as encoding-level unless it survives linguistic encodings.""}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,info,STATISTICAL_DEVIATION,2,"Metric 'gap_entropy' deviates from 'markov_1' null with z=-8.232. This is a tripwire, not a conclusion.","{""code"": ""STATISTICAL_DEVIATION"", ""severity"": ""info"", ""interpretation_level"": 2, ""message"": ""Metric 'gap_entropy' deviates from 'markov_1' null with z=-8.232. This is a tripwire, not a conclusion.""}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,0,This deviation occurred in raw UTF-8 bits. Treat it as encoding-level unless it survives linguistic encodings.,"{""code"": ""RAW_LAYER_FINDING_NOT_LINGUISTIC"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""This deviation occurred in raw UTF-8 bits. Treat it as encoding-level unless it survives linguistic encodings.""}"
