form	meaning	notes
p	/p/	Labial
m	/m/	Labial
w	/w/	Labial
t	/t/	Alveolar
n	/n/	Alveolar
s	/s/	Alveolar
l	/l/	Alveolar
k	/k/	Velar
i	/i/	High
u	/u/	High
e	/e/	Mid
o	/o/	Mid
a	/a/	Low
pa	CV	before
pan	CVn	all
mi	CV	I/me
lin	CVn	life/live
ta	be, exist	Stative existence
to	thing	Discrete, countable entity
su	stuff	Mass, substance, material
tu	you	Second person (listener)
si	it, he, she	Third person
ni	this	Proximal demonstrative
ka	what	Question particle / unknown
wo	big, large, much	no-wo → small
pi	hot, warm	no-pi → cold
wa	wet, moist, liquid	no-wa → dry
ko	hard, solid, firm	no-ko → soft
lo	bright, light	no-lo → dark
ma	good, positive	no-ma → bad
nu	new, fresh, recent	no-nu → old
sa	fast, quick, soon	no-sa → slow
so	up, above, high	no-so → down
na	in, inside, within	no-na → out
pe	front, ahead, forward	no-pe → back
ti	near, close, proximal	no-ti → far
ne	now, present, current	The immediate moment
lon	long, duration, extended	no-lon → brief
wen	one, single	Individual unit
le	two, pair	Duality
mu	many, much, plural	Multiplicity
ke	do, make, cause	General action/causation
mo	move, go, motion	Change of position
ki	have, possess, contain	Possession/containment
se	give, send, emit	Outward transfer
ku	take, receive, acquire	Inward transfer
li	see, perceive visually	Visual perception
te	hear, listen	Auditory perception
wi	feel, sense, emotion	Touch and internal sensation
lu	know, cognize, understand	Mental awareness
pu	want, desire, intend	Volition
me	say, speak, express	Communication
no	not	Negation
kan	and	Conjunction
kon	or	Disjunction
sin	if	Conditional
we	of, from, origin	Genitive/source
la	to, toward, destination	Dative/goal
win	with, accompanied by	Comitative
san	same, like, similar, as	Comparison
pen	part, portion, piece	Mereological
now	no-wo	small, little
nip	no-pi	cold, cool
naw	no-wa	dry
nok	no-ko	soft, flexible
nul	no-lo	dark
nam	no-ma	bad, harmful
nun	no-nu	old, ancient
nas	no-sa	slow, late
nus	no-so	down, below, low
nan	no-na	out, outside
nep	no-pe	back, behind
nit	no-ti	far, distant
nap	no-pa	after, later
was	wa-su	water (wet-stuff)
pis	pi-su	fire (hot-stuff)
kos	ko-su	stone, earth (hard-stuff)
mos	mo-su	air, wind (move-stuff)
los	lo-su	light [noun] (bright-stuff)
mol	mo-lin	animal (move-life)
num	no-mo-lin	plant (not-move-life)
lum	lu-mo-lin	person (know-move-life)
pap	pan-pen	body (all-part)
sop	so-pen	head (up-part)
kep	ke-pen	hand (do-part)
lip	li-pen	eye (see-part)
tep	te-pen	ear (hear-part)
mep	me-pen	mouth (say-part)
mop	mo-pen	foot (move-part)
wip	wi-pen	heart (feel-part)
sos	so-su	sky (up-stuff)
pil	pi-los	sun (hot-light)
nil	nip-los	moon (cold-light)
nol	now-los	star (small-light)
sok	so-kos	mountain (up-stone)
waw	wo-was	ocean (big-water)
maw	mo-was	river (move-water)
nuw	nus-was	rain (down-water)
nak	na-ku	eat (in-take)
wan	wa-na	drink (wet-in)
nom	no-mo	sleep (not-move)
lup	lu-sop	think (know-head)
fire	pis	pi (hot) + su (stuff)
ice	ko-was	ko (hard) + was (water)
bird	so-mol	so (up) + mol (animal)
fish	wa-mol	wa (wet) + mol (animal)
sky	sos	so (up) + su (stuff)
sun	pil	pi (hot) + los (light)
moon	nil	nip (cold) + los (light)
star	nol	now (small) + los (light)
rain	nuw	nus (down) + was (water)
tree	wo-num	wo (big) + num (plant)
body	pap	pan (all) + pen (part)
head	sop	so (up) + pen (part)
hand	kep	ke (do) + pen (part)
eye	lip	li (see) + pen (part)
ear	tep	te (hear) + pen (part)
foot	mop	mo (move) + pen (part)
idea	lu-to	lu (know) + to (thing)
lie	nam-me	nam (bad) + me (say)
life	lin	(root)
