rank,language_guess,corpus_family,report_count,cleaned_chars,trusted_survivor_count,strongest_abs_z,strongest_z,strongest_direction,strongest_encoding,strongest_event,strongest_metric,strongest_p_emp,dominant_signal_family,profile,notes,strongest_input
1,de,parallel_udhr,1,,5,12.614508,-12.614507941893,lower_than_null,word_boundary,word_boundary,prime_gap_affinity,0.009900990099,word_boundary,strong,dominant signal: word_boundary; strongest row is word-boundary based,
2,xh,parallel_udhr,1,,4,10.369615,-10.36961481091,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,vowel_consonant,strong,dominant signal: vowel_consonant; strongest row is word-boundary based,
3,la,parallel_udhr,1,,4,6.011814,-6.011814183198,lower_than_null,word_boundary,word_boundary,run_entropy,0.009900990099,vowel_consonant,moderate,dominant signal: vowel_consonant; strongest row is word-boundary based,
4,tr,parallel_udhr,1,,4,5.929918,-5.929917685193,lower_than_null,word_boundary,word_boundary,prime_gap_affinity,0.009900990099,word_boundary,moderate,dominant signal: word_boundary; strongest row is word-boundary based,
5,es,parallel_udhr,1,,4,5.708398,-5.708398400678,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,vowel_consonant,moderate,dominant signal: vowel_consonant; strongest row is word-boundary based,
6,he,parallel_udhr,1,,4,5.014382,-5.01438152505,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,vowel_consonant,moderate,dominant signal: vowel_consonant; strongest row is word-boundary based,
7,ar,parallel_udhr,1,,4,4.805893,-4.805893189478,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,word_boundary,moderate,dominant signal: word_boundary; strongest row is word-boundary based,
8,ja,parallel_udhr,1,,2,10.155028,-10.155027735209,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,word_boundary,strong,dominant signal: word_boundary; strongest row is word-boundary based,
9,zh,parallel_udhr,1,,2,5.888456,-5.888456002156,lower_than_null,word_boundary,word_boundary,gap_entropy,0.009900990099,word_boundary,moderate,dominant signal: word_boundary; strongest row is word-boundary based,
10,el,parallel_udhr,1,,2,5.755029,-5.755029414422,lower_than_null,word_boundary,word_boundary,prime_gap_affinity,0.009900990099,word_boundary,moderate,dominant signal: word_boundary; strongest row is word-boundary based,
11,is,parallel_udhr,1,,2,4.684722,-4.684721598906,lower_than_null,grapheme,vowel,prime_gap_affinity,0.009900990099,vowel_consonant,weak,dominant signal: vowel_consonant,
12,fr,parallel_udhr,1,,2,4.042247,-4.042246745631,lower_than_null,grapheme_class,vowel,prime_gap_affinity,0.009900990099,vowel_consonant,weak,dominant signal: vowel_consonant,
13,en,parallel_udhr,1,,1,9.014021,-9.014021314902,lower_than_null,word_boundary,word_boundary,prime_gap_affinity,0.009900990099,word_boundary,strong,dominant signal: word_boundary; strongest row is word-boundary based,
14,cy,parallel_udhr,1,,0,0.0,,,,,,,,quiet,no filtered Markov-2 survivors,
15,mesu,parallel_udhr,1,,0,0.0,,,,,,,,quiet,no filtered Markov-2 survivors,
16,ru,parallel_udhr,1,,0,0.0,,,,,,,,quiet,no filtered Markov-2 survivors,
17,sw,parallel_udhr,1,,0,0.0,,,,,,,,quiet,no filtered Markov-2 survivors,
