fossil	origin_roots	semantic_energy	information_context
lus	lu + su	Information / Data	Knowledge-stuff as a measurable quantity.
met	me + to	Symbol / Sign / Bit	A discrete saying-thing within an alphabet.
pen	pe + nap	Order / Sequence	The front-after arrangement of symbols.
sawen	san + we	Morphism / Mapping	The relational sameness-from between sets.
mesan	me + san	Truth / Bijection	When the saying is the same as reality.
sut	su + ta	Reality / Fact	Stuff-that-exists; physical ground truth.
nop	no + pe	Entropy / Disorder	The state of not-front; loss of sequence.
sen	se + no	Randomness / Stochastic	Giving/moving without knowing; unpredictable.
tok	to + ki	Energy / Core Essence	The thing-heart that remains during permutations.
sat	san + ta	Probability / Likelihood	That which is same-as-existing; likely to occur.
